"Sensor","Est. difference (95% CI)","Raw p-value","Adjusted p-value"
"S1","0.02 (-0.06, 0.10)","0.646","0.700"
"S3","-0.22 (-0.26, -0.17)","<0.001","<0.001"
"S4","0.11 (0.02, 0.20)","0.014","0.026"
"S5","-0.15 (-0.24, -0.07)","<0.001","<0.001"
"S6","-0.03 (-0.12, 0.05)","0.432","0.510"
"S7","0.19 (0.16, 0.22)","<0.001","<0.001"
"S1BH","-0.08 (-0.11, -0.04)","<0.001","<0.001"
"S2BH","0.06 (0.03, 0.09)","<0.001","<0.001"
"S3BH","-0.07 (-0.10, -0.03)","<0.001","<0.001"
"S4BH","-0.03 (-0.06, -0.00)","0.023","0.037"
"S5BH","-0.03 (-0.06, 0.00)","0.063","0.082"
"S6BH","0.02 (0.00, 0.03)","0.027","0.039"
"S7BH","-0.00 (-0.04, 0.04)","0.931","0.931"
