m_id,S1,S3,S4,S5,S6,S7,S1BH,S2BH,S3BH,S4BH,S5BH,S6BH,S7BH
130234,1.19,1.15,1.75,1.20,1.64,.44,.18,.16,.15,.22,.27,.23,.25
130245,.99,1.30,1.74,1.53,1.79,.44,.19,.15,.13,.30,.33,.25,.21
130310,.64,1.13,1.62,1.35,1.65,.56,.35,.23,.19,.35,.40,.35,.39
130325,1.01,1.35,2.04,1.68,1.98,.32,.11,.09,.08,.20,.26,.21,.14
130328,1.16,1.36,1.91,1.61,2.03,.25,.15,.10,.09,.19,.20,.21,.15
130443,1.00,1.12,1.68,1.42,1.55,.48,.21,.22,.18,.26,.31,.25,.19
130444,.95,1.08,1.54,1.17,1.43,.52,.24,.20,.11,.28,.34,.27,.32
130445,1.25,1.38,1.84,1.18,1.53,.20,.49,.20,.25,.16,.19,.34,-.02
130446,.72,1.29,1.47,1.33,1.59,.22,.24,.10,.16,.23,.28,.19,.18
130447,1.01,1.42,1.63,1.48,1.79,.30,.32,.14,.22,.31,.35,.24,.26
130448,.89,1.55,1.91,1.32,2.25,.42,.33,.25,.28,.42,.27,.44,.21
130452,.60,1.18,1.25,1.50,1.46,1.06,.03,.34,.11,.11,.43,.21,.37
130454,.65,1.31,1.40,1.28,1.55,.21,.26,.12,.19,.25,.29,.20,.17
130455,.53,1.25,1.59,1.61,2.04,.84,.43,.19,.16,.34,.45,.28,.18
130456,.88,1.36,1.54,1.41,1.68,.26,.28,.11,.18,.27,.31,.21,.20
130487,.99,1.19,1.73,1.46,1.74,.46,.25,.21,.18,.33,.36,.29,.26
130494,.92,1.38,1.57,1.44,1.72,.27,.30,.13,.20,.29,.33,.23,.22
130501,.77,1.34,1.49,1.37,1.63,.24,.27,.11,.18,.26,.30,.21,.19
130503,1.10,1.45,1.66,1.52,1.85,.31,.34,.15,.23,.33,.37,.26,.28
130510,.69,1.28,1.43,1.30,1.57,.23,.25,.10,.17,.24,.28,.20,.16
130511,1.01,.97,1.82,1.25,1.67,.44,.18,.16,.15,.22,.27,.23,.24
130512,.87,1.31,1.47,1.49,1.86,.58,.29,.27,.05,.33,.38,.30,.11
130515,.92,1.19,1.73,1.40,1.59,.46,.20,.18,.17,.24,.29,.24,.26
130522,.95,1.41,1.60,1.46,1.76,.28,.31,.14,.21,.30,.34,.24,.25
130524,.95,1.35,1.80,1.59,1.82,.38,.23,.14,.10,.22,.28,.20,.19
130526,.91,1.19,1.32,1.40,1.60,.95,.15,.25,.25,.31,.39,.30,.23
130527,.42,1.31,1.37,1.20,1.66,.38,.47,.03,.14,.24,.22,.18,.07
130529,.81,1.33,1.50,1.39,1.65,.25,.28,.12,.19,.27,.31,.22,.20
130530,1.02,1.25,1.61,1.23,1.48,.50,.23,.21,.20,.27,.32,.26,.30
130541,.85,1.29,1.42,1.27,1.78,.58,.03,.03,.05,.05,.37,.09,.01
130543,.80,1.38,1.45,1.78,1.38,.33,.44,.28,.28,.57,.62,.59,.31
130544,1.20,1.25,1.44,2.01,1.64,.46,.52,.30,.37,.58,.62,.60,.18
130546,.61,1.28,1.65,1.61,1.79,.45,.38,.01,.08,.33,.47,.16,.16
130553,1.09,1.34,1.64,1.58,2.03,.08,.06,.15,.09,.20,.40,.07,.01
130555,1.04,1.44,1.64,1.50,1.82,.29,.33,.15,.22,.32,.36,.25,.27
130556,.74,1.30,1.45,1.32,1.60,.22,.24,.10,.16,.23,.27,.19,.17
130557,.98,1.39,1.58,1.45,1.74,.27,.30,.13,.20,.29,.33,.23,.22
130558,.83,1.35,1.52,1.40,1.67,.25,.28,.12,.19,.27,.31,.22,.20
130559,.83,1.28,1.18,1.55,1.55,.45,.23,.24,.24,.31,.41,.28,.35
130562,.76,1.11,1.89,1.32,1.74,.41,.17,.15,.14,.21,.26,.22,.23
130563,.89,1.58,1.80,1.24,1.80,.49,.18,.04,.18,.22,.08,.20,.08
130569,1.12,1.47,1.69,1.54,1.88,.32,.35,.16,.24,.34,.38,.27,.29
130570,.71,1.27,1.42,1.29,1.56,.21,.23,.09,.15,.22,.26,.18,.15
130572,.78,1.14,1.39,1.12,1.68,.62,.33,.30,.18,.36,.42,.34,.15
130573,1.02,1.10,1.24,1.50,1.53,1.38,.19,.25,-.01,.10,.33,.07,.27
130574,.90,1.37,1.55,1.42,1.70,.26,.29,.12,.19,.28,.32,.23,.21
130576,.94,1.20,1.90,1.60,1.98,.35,.29,.40,.12,.17,.39,.18,.31
130581,1.06,1.43,1.62,1.49,1.80,.30,.33,.14,.22,.31,.35,.25,.26
130582,.76,1.32,1.48,1.36,1.62,.23,.26,.11,.18,.25,.29,.20,.18
130584,.91,1.15,1.55,1.26,1.82,.65,.29,.02,.08,.18,.21,.22,.02
130596,.74,1.29,1.97,1.79,2.23,.30,.45,.08,.25,.13,.10,.18,.05
130598,.75,1.38,1.45,1.40,1.69,.74,.10,.20,.13,.26,.40,.23,.26
130601,.88,1.28,1.19,.84,1.40,.64,.03,.01,-.01,.18,.02,.15,.19
130602,.68,1.26,1.55,1.44,1.53,.20,.05,.01,.07,.17,.08,.18,.12
130617,1.08,1.27,1.68,1.17,2.03,.58,.27,.12,.15,.35,.41,.28,.13
130618,.77,1.20,1.20,1.42,1.63,1.56,.28,.08,.14,.19,.32,.26,.15
130619,1.19,1.27,1.78,1.47,1.67,.43,.21,.15,.16,.21,.27,.25,.20
130623,.91,1.06,1.33,.96,1.88,.46,.27,.01,.03,.31,.32,.21,.55
130628,.72,1.17,1.31,1.26,1.62,.64,.35,.33,.13,.38,.44,.36,.18
130629,1.05,1.18,1.58,1.41,1.46,.51,.25,.23,.09,.29,.33,.27,.31
130650,1.17,.93,1.76,1.38,1.62,.45,.19,.17,.16,.23,.28,.24,.27
130651,.91,1.16,1.52,.95,1.71,.54,.26,.24,.22,.30,.35,.28,.34
130652,1.04,.98,1.84,1.27,1.70,.43,.16,.14,.13,.20,.25,.21,.22
130663,.94,1.40,1.59,1.45,1.75,.28,.31,.13,.21,.30,.34,.24,.23
130666,1.15,1.48,1.70,1.56,1.90,.33,.36,.17,.25,.35,.39,.28,.30
130667,.68,1.26,1.41,1.28,1.54,.20,.22,.09,.15,.21,.25,.17,.14
130668,.87,1.35,1.53,1.41,1.68,.25,.28,.12,.19,.27,.31,.22,.20
130673,1.02,1.42,1.61,1.47,1.78,.29,.32,.14,.22,.31,.35,.25,.26
130679,.79,1.33,1.49,1.37,1.63,.24,.27,.11,.18,.26,.30,.21,.19
130680,.96,1.40,1.58,1.44,1.74,.27,.30,.13,.20,.29,.33,.23,.22
130681,1.21,1.02,1.79,1.63,2.11,.28,.35,.21,.11,.16,.32,.59,.31
130684,1.10,1.09,1.49,1.46,1.65,.64,.39,.17,.12,.16,.36,.38,.14
130687,.83,1.29,1.44,.87,1.53,.60,.31,.29,.17,.34,.40,.32,.13
130688,1.10,.91,1.69,1.28,1.56,.47,.22,.20,.19,.25,.30,.25,.28
130690,.83,1.24,1.92,1.36,1.78,.40,.15,.13,.12,.19,.24,.20,.21
130692,.83,1.21,1.92,1.50,1.61,.28,.26,.01,-.01,.05,.08,.15,.04
130693,.71,1.15,2.11,1.66,1.75,.33,.39,.25,.13,.33,.31,.43,.36
130694,.64,1.29,1.54,1.41,1.77,.60,.39,.09,.17,.29,.38,.07,.16
130696,1.21,1.02,1.79,1.63,2.11,.28,.35,.21,.11,.16,.32,.59,.31
130697,1.19,1.40,1.68,1.69,1.37,.45,.09,.17,.06,.22,.23,.40,.43
130698,1.08,1.45,1.65,1.51,1.84,.31,.34,.15,.23,.33,.37,.26,.28
130699,.73,1.29,1.44,1.31,1.58,.22,.25,.10,.17,.24,.28,.20,.16
130700,.87,1.34,1.57,1.30,1.39,.62,.33,.02,.16,.30,.39,.23,.15
130721,1.25,1.23,1.86,1.49,1.79,.57,.37,.13,.12,.15,.28,.34,.05
130731,.89,1.36,1.54,1.42,1.69,.26,.29,.12,.19,.28,.32,.23,.21
130732,.52,1.41,1.54,1.26,1.76,.49,.41,.21,.25,.44,.36,.41,.11
130734,1.10,1.09,1.49,1.46,1.65,.64,.39,.17,.12,.16,.36,.38,.14
130737,1.13,1.47,1.68,1.55,1.89,.32,.35,.16,.24,.34,.38,.27,.29
130742,.98,1.21,1.72,1.51,1.74,.40,.31,.18,.19,.28,.37,.30,.27
130743,.83,1.21,1.92,1.50,1.61,.28,.27,.01,-.01,.05,.08,.15,.04
130744,.70,1.27,1.42,1.29,1.56,.21,.23,.09,.15,.22,.26,.18,.15
